c1 c2 c3 c4 c5 c6 c7 c8
541 0 0 0 0 0 0 321 
505 0 0 0 0 0 0 330 
534 0 0 0 0 0 0 295 
500 0 0 0 0 0 0 325 
520 0 0 0 0 0 0 301 
494 0 0 0 0 0 0 267 
518 0 0 0 0 0 0 279 
454 0 0 0 0 0 0 285 
442 0 0 0 0 0 0 254 
499 0 0 0 0 0 0 285 
446 0 0 0 0 0 0 269 
440 0 0 0 0 0 0 266 
462 0 0 0 0 0 0 254 
454 0 0 0 0 0 0 284 
438 0 0 0 0 0 0 288 
447 0 0 0 0 0 0 276 
431 0 0 0 0 0 0 270 
459 0 0 0 0 0 0 265 
428 0 0 0 0 0 0 234 
438 0 0 0 0 0 0 246 
418 0 0 0 0 0 0 258 
436 0 0 0 0 0 0 289 
414 0 0 0 0 0 0 278 
406 0 0 0 0 0 0 271 
394 0 0 0 0 0 0 296 
416 0 0 0 0 0 0 290 
408 0 0 0 0 0 0 263 
375 0 0 0 0 0 0 258 
425 0 0 0 0 0 0 243 
451 0 0 0 0 0 0 266 
431 0 0 0 0 0 0 247 
437 0 0 0 0 0 0 258 
421 0 0 0 0 0 0 239 
436 0 0 0 0 0 0 245 
431 0 0 0 0 0 0 248 
435 0 0 0 0 0 0 271 
432 0 0 0 0 0 0 285 
427 0 0 0 0 0 0 289 
402 0 0 0 0 0 0 292 
418 0 0 0 0 0 0 277 
417 0 0 0 0 0 0 274 
412 0 0 0 0 0 0 287 
442 0 0 0 0 0 0 276 
425 0 0 0 0 0 0 225 
485 0 0 0 0 0 0 259 
479 0 0 0 0 0 0 230 
485 0 0 0 0 0 0 272 
482 0 0 0 0 0 0 235 
461 0 0 0 0 0 0 215 
465 0 0 0 0 0 0 232 
489 0 0 0 0 0 0 267 
453 0 0 0 0 0 0 279 
437 0 0 0 0 0 0 242 
479 0 0 0 0 0 0 236 
443 0 0 0 0 0 0 220 
476 0 0 0 0 0 0 218 
481 0 0 0 0 0 0 244 
460 0 0 0 0 0 0 201 
486 0 0 0 0 0 0 177 
474 0 0 0 0 0 0 184 
460 0 0 0 0 0 0 187 
488 0 0 0 0 0 0 163 
476 0 0 0 0 0 0 187 
476 0 0 0 0 0 0 176 
498 0 0 0 0 0 0 202 
464 0 0 0 0 0 0 212 
477 0 0 0 0 0 0 185 
485 0 0 0 0 0 0 215 
474 0 0 0 0 0 0 213 
490 0 0 0 0 0 0 189 
474 0 0 0 0 0 0 220 
446 0 0 0 0 0 0 187 
451 0 0 0 0 0 0 178 
492 0 0 0 0 0 0 241 
475 0 0 0 0 0 0 208 
427 0 0 0 0 0 0 210 
469 0 0 0 0 0 0 241 
480 0 0 0 0 0 0 259 
457 0 0 0 0 0 0 229 
495 0 0 0 0 0 0 232 
502 0 0 0 0 0 0 280 
478 0 0 0 0 0 0 259 
509 0 0 0 0 0 0 255 
502 0 0 0 0 0 0 222 
512 0 0 0 0 0 0 218 
483 0 0 0 0 0 0 243 
504 0 0 0 0 0 0 257 
427 0 0 0 0 0 0 258 
477 0 0 0 0 0 0 280 
519 0 0 0 0 0 0 279 
527 0 0 0 0 0 0 281 
464 0 0 0 0 0 0 311 
484 0 0 0 0 0 0 305 
481 0 0 0 0 0 0 346 
447 0 0 0 0 0 0 299 
493 0 0 0 0 0 0 313 
463 0 0 0 0 0 0 314 
493 0 0 0 0 0 0 301 
473 0 0 0 0 0 0 283 
445 0 0 0 0 0 0 282 
471 0 0 0 0 0 0 286 
444 0 0 0 0 0 0 279 
444 0 0 0 0 0 0 278 
410 0 0 0 0 0 0 302 
458 0 0 0 0 0 0 299 
464 0 0 0 0 0 0 288 
470 0 0 0 0 0 0 309 
508 0 0 0 0 0 0 309 
438 0 0 0 0 0 0 280 
493 0 0 0 0 0 0 289 
452 0 0 0 0 0 0 265 
452 0 0 0 0 0 0 301 
443 0 0 0 0 0 0 273 
465 0 0 0 0 0 0 270 
480 0 0 0 0 0 0 323 
464 0 0 0 0 0 0 307 
453 0 0 0 0 0 0 288 
468 0 0 0 0 0 0 318 
462 0 0 0 0 0 0 310 
455 0 0 0 0 0 0 317 
467 0 0 0 0 0 0 328 
449 0 0 0 0 0 0 316 
435 0 0 0 0 0 0 314 
468 0 0 0 0 0 0 304 
425 0 0 0 0 0 0 329 
464 0 0 0 0 0 0 330 
473 0 0 0 0 0 0 326 
489 0 0 0 0 0 0 324 
524 0 0 0 0 0 0 322 
546 0 0 0 0 0 0 338 
502 0 0 0 0 0 0 322 
496 0 0 0 0 0 0 311 
520 0 0 0 0 0 0 306 
517 0 0 0 0 0 0 305 
514 0 0 0 0 0 0 279 
566 0 0 0 0 0 0 285 
520 0 0 0 0 0 0 285 
524 0 0 0 0 0 0 294 
517 0 0 0 0 0 0 288 
490 0 0 0 0 0 0 287 
470 0 0 0 0 0 0 286 
475 0 0 0 0 0 0 298 
435 0 0 0 0 0 0 273 
445 0 0 0 0 0 0 306 
500 0 0 0 0 0 0 307 
479 0 0 0 0 0 0 290 
524 0 0 0 0 0 0 301 
505 0 0 0 0 0 0 296 
511 0 0 0 0 0 0 286 
527 0 0 0 0 0 0 293 
536 0 0 0 0 0 0 267 
530 0 0 0 0 0 0 301 
523 0 0 0 0 0 0 311 
484 0 0 0 0 0 0 251 
527 0 0 0 0 0 0 249 
524 0 0 0 0 0 0 254 
474 0 0 0 0 0 0 270 
518 0 0 0 0 0 0 256 
536 0 0 0 0 0 0 262 
483 0 0 0 0 0 0 227 
530 0 0 0 0 0 0 225 
536 0 0 0 0 0 0 223 
552 0 0 0 0 0 0 233 
513 0 0 0 0 0 0 249 
543 0 0 0 0 0 0 231 
558 0 0 0 0 0 0 226 
584 0 0 0 0 0 0 221 
548 0 0 0 0 0 0 234 
535 0 0 0 0 0 0 221 
559 0 0 0 0 0 0 238 
513 0 0 0 0 0 0 271 
493 0 0 0 0 0 0 262 
517 0 0 0 0 0 0 268 
530 0 0 0 0 0 0 255 
533 0 0 0 0 0 0 240 
557 0 0 0 0 0 0 198 
568 0 0 0 0 0 0 187 
579 0 0 0 0 0 0 190 
562 0 0 0 0 0 0 214 
593 0 0 0 0 0 0 190 
582 0 0 0 0 0 0 148 
548 0 0 0 0 0 0 158 
637 0 0 0 0 0 0 163 
570 0 0 0 0 0 0 165 
619 0 0 0 0 0 0 172 
608 0 0 0 0 0 0 183 
579 0 0 0 0 0 0 174 
590 0 0 0 0 0 0 182 
580 0 0 0 0 0 0 181 
574 0 0 0 0 0 0 181 
619 0 0 0 0 0 0 206 
597 0 0 0 0 0 0 188 
624 0 0 0 0 0 0 175 
585 0 0 0 0 0 0 171 
615 0 0 0 0 0 0 178 
580 0 0 0 0 0 0 209 
598 0 0 0 0 0 0 203 
576 0 0 0 0 0 0 218 
586 0 0 0 0 0 0 211 
622 0 0 0 0 0 0 219 
616 0 0 0 0 0 0 217 
613 0 0 0 0 0 0 234 
610 0 0 0 0 0 0 231 
635 0 0 0 0 0 0 238 
621 0 0 0 0 0 0 190 
605 0 0 0 0 0 0 202 
593 0 0 0 0 0 0 219 
589 0 0 0 0 0 0 208 
594 0 0 0 0 0 0 201 
591 0 0 0 0 0 0 210 
579 0 0 0 0 0 0 197 
600 0 0 0 0 0 0 211 
628 0 0 0 0 0 0 203 
570 0 0 0 0 0 0 189 
605 0 0 0 0 0 0 173 
599 0 0 0 0 0 0 170 
586 0 0 0 0 0 0 183 
595 0 0 0 0 0 0 167 
568 0 0 0 0 0 0 203 
567 0 0 0 0 0 0 208 
588 0 0 0 0 0 0 195 
584 0 0 0 0 0 0 214 
542 0 0 0 0 0 0 215 
576 0 0 0 0 0 0 203 
572 0 0 0 0 0 0 208 
558 0 0 0 0 0 0 205 
585 0 0 0 0 0 0 236 
562 0 0 0 0 0 0 213 
554 0 0 0 0 0 0 212 
542 0 0 0 0 0 0 231 
523 0 0 0 0 0 0 254 
575 0 0 0 0 0 0 244 
520 0 0 0 0 0 0 226 
551 0 0 0 0 0 0 260 
561 0 0 0 0 0 0 256 
553 0 0 0 0 0 0 259 
542 0 0 0 0 0 0 265 
574 0 0 0 0 0 0 248 
551 0 0 0 0 0 0 262 
576 0 0 0 0 0 0 230 
561 0 0 0 0 0 0 246 
573 0 0 0 0 0 0 241 
564 0 0 0 0 0 0 259 
575 0 0 0 0 0 0 237 
530 0 0 0 0 0 0 240 
586 0 0 0 0 0 0 261 
516 0 0 0 0 0 0 230 
546 0 0 0 0 0 0 243 
541 0 0 0 0 0 0 240 
563 0 0 0 0 0 0 239 
549 0 0 0 0 0 0 235 
531 0 0 0 0 0 0 252 
565 0 0 0 0 0 0 252 
489 0 0 0 0 0 0 263 
529 0 0 0 0 0 0 254 
519 0 0 0 0 0 0 231 
553 0 0 0 0 0 0 209 
583 0 0 0 0 0 0 189 
553 0 0 0 0 0 0 223 
501 0 0 0 0 0 0 231 
492 0 0 0 0 0 0 212 
459 0 0 0 0 0 0 254 
489 0 0 0 0 0 0 248 
471 0 0 0 0 0 0 225 
490 0 0 0 0 0 0 252 
484 0 0 0 0 0 0 277 
500 0 0 0 0 0 0 253 
466 0 0 0 0 0 0 260 
450 0 0 0 0 0 0 272 
470 0 0 0 0 0 0 269 
481 0 0 0 0 0 0 247 
483 0 0 0 0 0 0 240 
496 0 0 0 0 0 0 254 
474 0 0 0 0 0 0 230 
526 0 0 0 0 0 0 218 
478 0 0 0 0 0 0 245 
492 0 0 0 0 0 0 208 
472 0 0 0 0 0 0 219 
487 0 0 0 0 0 0 219 
480 0 0 0 0 0 0 227 
491 0 0 0 0 0 0 220 
453 0 0 0 0 0 0 228 
510 0 0 0 0 0 0 232 
442 0 0 0 0 0 0 234 
481 0 0 0 0 0 0 180 
514 0 0 0 0 0 0 208 
532 0 0 0 0 0 0 191 
535 0 0 0 0 0 0 199 
482 0 0 0 0 0 0 189 
491 0 0 0 0 0 0 164 
535 0 0 0 0 0 0 185 
522 0 0 0 0 0 0 199 
514 0 0 0 0 0 0 205 
499 0 0 0 0 0 0 212 
492 0 0 0 0 0 0 226 
495 0 0 0 0 0 0 209 
492 0 0 0 0 0 0 200 
475 0 0 0 0 0 0 204 
525 0 0 0 0 0 0 173 
507 0 0 0 0 0 0 162 
539 0 0 0 0 0 0 197 
519 0 0 0 0 0 0 162 
508 0 0 0 0 0 0 211 
482 0 0 0 0 0 0 229 
499 0 0 0 0 0 0 228 
537 0 0 0 0 0 0 191 
495 0 0 0 0 0 0 184 
510 0 0 0 0 0 0 217 
529 0 0 0 0 0 0 201 
511 0 0 0 0 0 0 212 
530 0 0 0 0 0 0 248 
565 0 0 0 0 0 0 216 
565 0 0 0 0 0 0 213 
575 0 0 0 0 0 0 214 
557 0 0 0 0 0 0 184 
574 0 0 0 0 0 0 197 
548 0 0 0 0 0 0 185 
573 0 0 0 0 0 0 199 
587 0 0 0 0 0 0 197 
550 0 0 0 0 0 0 179 
596 0 0 0 0 0 0 166 
566 0 0 0 0 0 0 170 
593 0 0 0 0 0 0 167 
538 0 0 0 0 0 0 180 
574 0 0 0 0 0 0 155 
615 0 0 0 0 0 0 165 
620 0 0 0 0 0 0 191 
569 0 0 0 0 0 0 147 
606 0 0 0 0 0 0 152 
558 0 0 0 0 0 0 170 
554 0 0 0 0 0 0 158 
630 0 0 0 0 0 0 152 
603 0 0 0 0 0 0 164 
628 0 0 0 0 0 0 160 
602 0 0 0 0 0 0 157 
627 0 0 0 0 0 0 150 
618 0 0 0 0 0 0 162 
628 0 0 0 0 0 0 168 
657 0 0 0 0 0 0 210 
633 0 0 0 0 0 0 201 
630 0 0 0 0 0 0 194 
615 0 0 0 0 0 0 215 
605 0 0 0 0 0 0 222 
619 0 0 0 0 0 0 242 
610 0 0 0 0 0 0 204 
612 0 0 0 0 0 0 224 
630 0 0 0 0 0 0 211 
606 0 0 0 0 0 0 205 
635 0 0 0 0 0 0 188 
627 0 0 0 0 0 0 248 
